num_stage,stage_time,dis_fraction,dist_to_water,truck_consumption,water_per_stage,prop_per_stage,dist_to_sand,dist_to_fuel,mob_distance,sand_footprint
71,93,0.5281218663168915,100,14,594244,65,190,85,2,0.24474513360011135
42,81,0.585094627486824,27,12,484407,89,71,107,127,0.184357501924795
56,215,0.2978357955246047,134,18,108570,96,141,68,101,0.4728607390406854
105,113,0.21126568181644445,175,11,249392,70,65,153,454,0.24467273769473663
107,133,0.5365146234738506,105,15,368690,26,164,19,443,0.3940689624079811
33,74,0.5576734728325851,143,11,547886,26,99,158,294,0.12273297924269705
142,142,0.09237189905818965,153,22,497099,21,149,98,371,0.14720491739232988
32,188,0.1116638436900681,81,21,761811,95,53,36,63,0.07977885873556634
58,182,0.16615619624524336,33,24,923100,23,46,83,140,0.02632681411235155
74,167,0.9253031546239868,55,10,368066,58,171,57,449,0.47845950667794307
96,166,0.28733395881639967,137,19,945064,20,199,181,115,0.14650292594282027
113,180,0.6533919471157394,121,14,507167,27,15,9,55,0.3933665123423146
133,174,0.10551400929933108,135,13,751495,16,31,43,168,0.02510606728427145
91,74,0.16538660115581538,62,21,592471,87,131,82,36,0.19664682399983485
55,71,0.7406644412176338,143,16,443116,92,116,37,238,0.15797408540646102
93,215,0.5118719651200696,164,14,928970,91,152,49,130,0.3211547696767529
138,172,0.8500173341964145,169,23,384689,82,55,108,142,0.31707736025230265
117,108,0.15524913757570347,105,14,520877,77,39,89,444,0.22235674637420672
102,173,0.45152967991240156,140,15,557124,68,139,33,22,0.020095540098006903
125,119,0.5549890633464561,99,23,442930,70,16,86,365,0.40658318958883616
102,218,0.985562768848436,129,16,798048,52,64,193,131,0.3469190962328411
46,200,0.7036429377089835,5,22,163339,23,17,31,217,0.1798330940152818
139,135,0.02977048909397606,124,10,547745,87,76,84,372,0.008470425921841274
51,179,0.7879429470803171,47,23,994387,93,100,44,138,0.3457942965718193
84,163,0.4415724879720152,74,14,340708,48,17,181,150,0.0504056842225179
79,155,0.430799201638307,65,20,491263,69,177,157,410,0.46207602663154435
61,98,0.005665367845970826,123,14,133134,57,143,66,396,0.1240490488663995
51,79,0.8747384196130619,186,16,345907,69,18,72,127,0.3794136048051667
83,146,0.5235991549454122,20,10,163743,53,118,63,395,0.22669763304046203
98,221,0.01058843759090311,182,12,651033,32,81,132,6,0.29829062376573845
145,225,0.5873679563978907,113,12,865524,15,81,14,497,0.021354923130552206
134,211,0.9071954751806394,142,19,343846,10,183,139,289,0.25351748025866006
126,216,0.27099598310960615,104,19,918090,31,156,102,238,0.36502993578301896
96,166,0.774150295558004,174,11,436967,31,172,103,231,0.39737700580935664
44,61,0.199471012282602,154,13,276632,90,131,190,233,0.18482997163512732
115,77,0.24734367620267617,16,11,679487,99,106,134,20,0.04769407117833141
42,186,0.6512596560103666,157,21,967241,47,96,18,227,0.16626332516126996
32,74,0.8616579808685839,158,14,575190,28,95,27,318,0.03677059086619494
61,177,0.5748727317898767,91,23,208229,88,71,22,83,0.3997119380876225
32,237,0.8665148074534375,137,15,716355,40,117,154,7,0.21988669441758596
58,126,0.04032128358742515,70,22,671994,97,63,28,318,0.4567970714701689
60,196,0.8258272751186432,122,23,117105,56,47,32,470,0.400984985582803
85,156,0.9587746619012988,138,24,349976,13,36,61,210,0.4856064886258011
61,63,0.35068162976812234,59,24,971172,15,188,3,198,0.16661018091028823
109,111,0.9100263353243528,192,19,885024,43,104,141,69,0.4507030099994198
64,228,0.6896579075995382,155,22,542688,78,35,192,15,0.3926823846003331
104,128,0.01638325579855926,20,20,435856,59,26,182,254,0.261087416620774
61,105,0.7734546123418627,104,14,674358,27,32,32,378,0.2722549800708568
93,223,0.0406561298160818,118,15,314688,67,113,69,130,0.3632316965603246
62,227,0.8165243094323106,105,17,965270,66,87,55,307,0.03876684118599921
132,79,0.034793183615950185,87,23,929995,56,182,125,237,0.0033366913481522875
66,177,0.3097197778774886,171,18,654529,49,167,36,21,0.44335184549240536
31,96,0.36066686541851145,0,16,507847,15,156,59,303,0.25281008426411156
140,184,0.1398715618246561,102,14,336617,34,72,95,227,0.22349591476317138
47,206,0.3880496602393836,3,20,209386,75,134,120,327,0.3862312621245754
98,147,0.8488275258377826,11,24,104116,47,108,175,265,0.36209818210998274
137,152,0.26423229791522296,119,24,887967,48,11,133,170,0.37635933333061883
31,190,0.18267422515728216,7,14,577487,60,76,151,185,0.19376925201917444
130,224,0.8011799652998693,104,10,621553,50,52,171,402,0.016363389782905358
104,131,0.3116448673529164,41,18,694547,41,198,175,188,0.4183676389773259
142,77,0.14304225728580933,92,19,490844,35,106,62,467,0.24402191045159072
62,126,0.9354683444528977,11,18,739093,76,133,44,301,0.42170891762651075
32,176,0.9532391814852692,139,14,487484,56,172,147,275,0.2777426178025136
54,204,0.9015297397448035,169,17,285203,93,110,97,413,0.23990802420158752
141,176,0.5887872789430606,20,20,638509,60,30,158,6,0.244510141025087
128,102,0.02376564875842868,130,13,245891,51,88,173,466,0.330982560159818
134,186,0.31205208419838926,18,12,871600,86,37,45,247,0.30118866545240697
89,167,0.04704947042441765,126,22,360808,10,170,19,478,0.2562043744525586
107,185,0.8056992661942662,119,14,122198,26,144,148,440,0.2021029728612458
92,128,0.08862398651497128,20,14,803726,94,43,76,436,0.31426825928502655
103,88,0.9662063581032622,14,20,380552,16,7,130,307,0.4029165060106229
64,231,0.061979036046542646,144,10,904348,95,73,100,450,0.3828712671774212
86,216,0.9736618845428021,134,15,906580,55,139,59,261,0.10449981740710163
98,227,0.27774513324224837,182,16,970193,69,147,63,442,0.08823143079186963
146,234,0.8729727153807091,59,14,488014,40,65,60,259,0.18120179881996634
78,202,0.8875062584884665,68,18,336600,26,152,166,326,0.06015079118962807
112,92,0.5753620120747424,67,15,790656,97,100,74,303,0.007802492991916821
91,207,0.44460322878613423,87,19,776150,24,92,138,114,0.07000552982773217
128,150,0.09518480513511196,47,22,112817,25,131,122,123,0.4228379423349811
138,131,0.4730177696922596,97,11,625975,56,30,43,160,0.04996834873411099
52,221,0.5195631667018501,63,24,941714,84,62,164,217,0.06689054619535745
132,93,0.6510362378667586,115,10,517936,52,94,138,450,0.4964744533944048
94,65,0.8453086499880609,109,12,990409,41,30,66,219,0.49538128651254465
108,196,0.2254118818736478,117,14,243618,43,161,60,423,0.36355189809757565
107,71,0.2288532104546419,135,17,670533,12,187,94,102,0.102522236052145
73,95,0.2718176060419738,194,14,929801,29,137,53,273,0.1838674953085409
45,219,0.42989639142763225,148,18,798839,55,28,19,486,0.08887277972015034
95,72,0.5361188276891012,26,18,997361,52,132,27,384,0.11278601128667276
115,76,0.0341615956979715,131,17,791378,38,3,15,384,0.2146449754784896
144,80,0.6097362134603581,65,11,807327,85,181,117,223,0.07869826226056176
98,159,0.8211512952006129,14,22,364459,18,146,14,83,0.4934285542274676
124,66,0.5789644777713945,183,16,362696,81,181,175,140,0.1613563047631209
125,203,0.6649484855261952,69,13,292683,18,87,39,100,0.4319542633844374
88,199,0.0020678750925069433,193,15,118920,46,42,175,204,0.4159587778436126
74,118,0.547150933329108,169,23,706189,15,162,13,138,0.26348402247864117
137,64,0.7066965109921524,7,14,677691,72,120,11,165,0.10258593369223085
138,162,0.24577504667081174,31,12,425820,13,117,94,38,0.23500152617908515
44,77,0.9127732653278999,25,17,735612,41,86,175,223,0.2803645561027603
135,85,0.3701275776495989,53,18,518913,38,159,133,450,0.30201066742557714
75,66,0.5763615321673199,128,17,143905,35,2,127,96,0.3188714640626781
115,95,0.4386935002817399,125,23,601713,39,65,129,171,0.3860597381023921
79,207,0.07815352298923395,179,13,369593,73,123,177,404,0.1892186659527219
61,61,0.35383775108082394,80,24,503877,89,117,92,9,0.28533061138987276
94,94,0.3475952724454121,4,12,487440,26,160,90,181,0.3641419046709179
96,228,0.46956354311141224,39,19,758572,57,139,0,498,0.38813471935719274
47,161,0.9747735653358757,68,22,424025,86,35,141,461,0.2205646332668687
43,96,0.2817705919548089,36,24,418085,24,195,95,58,0.45074033160507326
110,183,0.13693315934086536,195,11,438278,33,44,95,400,0.4296609311106024
73,82,0.9353747638646569,26,17,772451,16,113,22,318,0.2401704259683231
134,207,0.2867144351446782,162,21,815620,64,180,155,232,0.21052447396747925
37,75,0.6579351198491713,164,10,591102,92,35,114,246,0.10262364039776262
107,169,0.8316037791064135,183,11,771163,66,183,158,203,0.20551264997646074
143,65,0.29744173624760695,37,16,165646,43,143,92,430,0.328383956270475
70,91,0.42931560761799903,162,18,532195,39,50,163,472,0.04483585469391754
113,152,0.38684972271359186,49,24,682487,53,93,8,351,0.01838365304678169
119,87,0.4810233835261145,2,15,808743,44,141,59,383,0.10628852296206681
41,148,0.8072070041951876,112,19,559559,77,36,47,55,0.3797350847312279
126,234,0.877224803823427,99,13,627748,76,91,133,331,0.04589786528823403
32,108,0.99779011704626,1,21,187075,68,120,39,322,0.3069354277230288
121,82,0.8985065310957662,90,17,122863,42,172,44,473,0.42219565636209966
82,76,0.365065598660273,34,18,307930,46,106,155,315,0.11926538721906182
103,224,0.26422771383073496,50,20,349102,36,66,119,110,0.22721209242910634
125,168,0.03670032929981115,190,13,356223,17,69,72,229,0.31763344537543386
134,221,0.10018852141149026,85,15,551338,61,29,109,444,0.3977003100957153
34,222,0.4941365871409904,20,15,260101,20,105,106,91,0.17528606879245306
75,142,0.643659614084109,56,15,426192,16,158,127,71,0.1334267002487533
54,197,0.9443044207903375,5,16,179132,16,83,112,333,0.35606726324987975
109,159,0.04678325874509481,184,21,330952,66,165,111,482,0.005571806172137317
61,94,0.17326851276062682,60,23,166979,13,47,99,44,0.27508712634788923
149,145,0.9283827584721467,153,18,600375,96,185,169,370,0.2033417024168469
140,190,0.3143793738403369,155,10,930318,64,191,28,362,0.0015600091888916534
119,189,0.849431759980933,142,15,638750,39,113,109,105,0.1788740712410372
71,205,0.7434272176827096,184,18,360067,71,136,4,160,0.22393297502934406
64,190,0.6675730030644685,67,15,610010,24,57,42,80,0.04914498478351964
109,77,0.457624056825953,65,10,507143,65,173,140,240,0.44470942573874445
109,101,0.5187122753969216,152,22,210379,87,73,85,486,0.22487763056732762
59,208,0.175647990327634,65,24,475130,63,16,12,33,0.410911473311586
44,102,0.21565170496184927,89,14,470827,21,166,38,463,0.08224401512323765
49,97,0.4662828126215489,172,20,223564,38,152,195,57,0.28053788245374417
117,113,0.23406811194829102,17,10,750215,49,16,135,368,0.3016503426867578
93,201,0.17741991288210013,153,13,585876,24,183,26,288,0.0999143923369809
99,157,0.5925973529733941,197,10,345635,37,115,18,135,0.1787858768291462
125,163,0.8054895051776162,48,12,491596,93,82,117,100,0.05326500105403742
126,166,0.2702927821231008,193,18,662816,85,97,103,351,0.015184918044530649
139,177,0.2878117948617058,102,15,715723,82,179,74,14,0.3132412214418626
56,159,0.010898487372520083,14,11,352302,38,192,60,278,0.17460493438594854
48,109,0.2148591920883488,166,14,978113,46,27,133,336,0.35566252894028455
68,69,0.15210690805867244,58,16,347201,45,124,131,341,0.09083468451022608
119,115,0.03681043672547324,53,14,578655,57,83,162,352,0.2887424551166728
47,71,0.5657986161078276,131,22,372481,36,120,83,253,0.21035949529747433
72,74,0.015728851881181893,150,16,337359,66,159,113,65,0.04746340237529395
100,154,0.27195027224569146,62,24,126387,75,116,105,409,0.02437741044825742
103,183,0.5907507099567849,34,21,888164,60,145,193,293,0.3259428298266529
126,227,0.5740507529715895,183,11,854497,85,136,30,211,0.4949357734150965
148,182,0.6352106514354217,18,22,115860,40,14,62,196,0.09084203937142987
57,169,0.5891251488643031,94,14,385094,93,163,169,377,0.26686638544467445
113,92,0.45064715131523436,32,19,488813,37,43,108,66,0.42109008281291455
33,82,0.4659476349531829,164,13,663381,25,148,185,154,0.189994796124146
81,186,0.247458726168726,115,11,605575,10,150,125,278,0.29124074850199
43,222,0.368905790357863,35,23,765846,23,48,3,415,0.4530924506847486
138,117,0.02901914980255038,72,12,856408,83,19,129,149,0.06459233315320351
138,130,0.7348831470622018,5,24,679587,54,3,66,476,0.10317703005537199
88,184,0.549872003987605,102,19,215627,46,9,155,483,0.007432254343558042
113,181,0.5622767632785929,146,13,629959,78,197,148,400,0.4591055364918732
118,142,0.8473942252970517,110,13,225529,56,9,190,104,0.38889012097931114
34,108,0.9188326475791784,83,12,533185,25,31,69,145,0.3342466199057892
46,147,0.6657277566217374,58,19,621653,36,160,122,358,0.43750055293852774
86,140,0.6567688213496801,90,17,213618,21,153,96,127,0.20859819974913996
62,141,0.8758563707827838,57,21,813750,72,41,191,34,0.4970236473611378
91,134,0.8758448859451885,5,18,720352,30,6,2,338,0.12292090341086909
105,96,0.1850477326964053,177,17,202654,72,14,12,225,0.08648523438679029
44,205,0.2098570535773493,26,21,248940,54,175,121,146,0.02302444585599067
43,161,0.2759105060717668,50,10,173471,63,122,59,386,0.446958231917661
96,210,0.8060433181839666,138,14,486971,68,191,143,75,0.35072117494360133
66,213,0.7305185620523095,16,24,817378,68,186,31,43,0.017913347310152927
84,73,0.5824527952549234,133,19,975866,40,157,63,65,0.17416257520714734
110,238,0.13694376847049783,190,16,794822,24,149,114,362,0.0838309629259344
59,110,0.11256921548251386,197,23,702832,51,171,129,302,0.02479679863167289
104,204,0.2484513683373054,154,10,131789,72,62,114,157,0.2847756986408845
34,128,0.11798329492101722,127,13,209276,34,146,115,36,0.2959991649502126
93,62,0.0028620056331892796,10,10,504163,87,50,134,254,0.3536798813230167
73,225,0.6293351253554558,95,24,646104,25,61,150,155,0.1260734533615746
138,215,0.348439550545812,163,10,213625,50,4,182,143,0.17638586390402183
81,138,0.5812127463863109,142,21,127139,13,58,12,222,0.3309613822996736
68,124,0.43634541961450724,195,14,673803,73,41,63,136,0.12085146771160715
61,165,0.3362078031667859,161,15,929039,25,104,104,49,0.3766623940677222
139,154,0.7976031118608701,178,24,592810,17,121,33,41,0.20396211563101796
85,97,0.3326275724366835,95,19,436451,30,169,107,168,0.1820115769633448
142,209,0.3886641377266421,120,22,464384,88,199,71,219,0.3485282676821405
97,239,0.8541903583943341,187,17,975325,42,80,170,32,0.3589761990390783
101,231,0.5625835535879042,53,13,727629,98,27,190,222,0.4162900505506886
109,224,0.9657162135717716,195,19,432100,98,160,112,113,0.33806812747346354
145,122,0.968974428502572,141,22,193793,51,60,52,21,0.23328001634146622
62,69,0.09802822536250688,85,18,106392,48,127,93,408,0.33794365507512925
80,176,0.02506962951076419,59,10,296163,82,85,9,90,0.12613868223995794
48,175,0.9482475383919167,138,14,104773,18,17,69,493,0.10172998094226143
121,109,0.4063642690231549,36,19,269397,32,83,107,59,0.26487540839432266
130,76,0.9464087999688278,16,15,200717,16,136,106,76,0.2867947316231293
149,198,0.14559841276281327,14,23,348771,97,198,48,21,0.11661230380036652
132,126,0.6740274979728345,168,15,157762,99,145,35,284,0.20930568903307983
69,80,0.8734364100024655,150,13,195604,98,52,129,105,0.14912094328653452
97,192,0.23183008095441848,56,16,781085,30,13,84,23,0.00089216299081607
30,196,0.056292489081851804,132,24,255585,83,165,151,165,0.2992302448519702
34,88,0.2572292583142084,169,16,547448,67,177,79,151,0.08682556745026326
137,204,0.0817365308929966,103,22,834212,33,9,150,386,0.4344466321842236
130,76,0.15029189768328333,171,15,992477,37,139,44,309,0.054581109415009876
118,182,0.3488486064334122,197,11,836215,86,42,38,427,0.49129943915845803
116,233,0.20161313562947614,162,16,223583,33,83,31,340,0.41793229260887704
73,238,0.4946801776963613,56,24,803040,66,33,156,110,0.1885972942767148
64,224,0.7916643065465717,174,13,960623,48,112,87,180,0.171283503658956
80,132,0.3817329751706041,186,17,902051,30,196,183,219,0.19072067188266617
62,116,0.9535457277695004,171,22,529051,45,68,162,116,0.46010455433153474
